prod_id,list_price,num_reviews,star_rating,val_star_rating,play_star_rating,review_difficulty_id,country_id
31075,19.99,1,4.0,4.0,5.0,3,21
31058,14.99,27,4.7,4.7,4.5,3,21
31073,14.99,5,4.4,5.0,4.7,3,21
31056,9.99,6,4.5,4.7,4.5,3,21
31057,9.99,1,4.0,4.0,4.0,3,21
31071,9.99,1,5.0,5.0,5.0,4,21
31072,9.99,0,,,,1,21
31046,19.99,8,4.6,4.5,4.3,4,21
31059,19.99,1,5.0,5.0,5.0,4,21
31051,59.99,15,4.7,4.3,4.7,4,21
31064,29.99,2,4.5,4.5,5.0,4,21
31035,29.99,9,4.4,4.1,4.5,3,21
31063,29.99,5,4.2,3.4,4.0,4,21
31049,29.99,4,5.0,4.8,4.8,4,21
31047,19.99,7,4.9,4.7,4.8,4,21
31060,19.99,0,,,,1,21
31043,9.99,2,5.0,4.5,4.0,3,21
31029,9.99,4,4.8,4.8,4.0,4,21
